りんご,サッカー,羽生結弦,お正月,ドラえもん,ハム太郎,マリーゴールド,ライオン,スポンジ,たべっ子どうぶつ,髪,アイスランド,ターミネーター,Ｌemon,,
きゅうり,バスケットボール,マツコ・デラックス,節分,のびた,クレヨンしんちゃん,コスモス,アライグマ,たわし,ドンタコス,眉毛,メキシコ,ホームアローン,クリスマスソング,,
ぎょうざ,テニス,タモリ,成人の日,ジャイアン,サザエさん,アサガオ,イタチ,ラップ,ばかうけ,おでこ,アフガニスタン,ジュラシックパーク,前前前世,,
ひきにく,卓球,明石家さんま,ひな祭り,野原しんのすけ,ちびまる子ちゃん,ヒマワリ,犬,アルミホイル,平家パイ,こめかみ,アメリカ合衆国,プラダを着た悪魔,花束,,
ハンバーグ,水泳,松本人志,バレンタインデー,野原みさえ,妖怪ウォッチ,チューリップ,猫,食器洗剤,ぷっちょ,耳,アルジェリア,ミッションインポッシブル,キセキ,,
ぶどう,バドミントン,博多大吉,ホワイトデー,アンパンマン,プリキュア,パンジー,おおかみ,漂白剤,源氏パイ,鼻,イタリア,タイタニック,Ｐretender,,
マスカット,柔道,カズレーザー,エイプリルフール,ジャムおじさん,イナズマイレブン,ヒアシンス,いのしし,タオル,ビスコ,顔,イラク,テルマエロマエ,ＲＰＧ,,
レモン,空手,ムロツヨシ,お花見,ばいきんまん,ワンピース,イチョウ,うさぎ,石鹸,チョコボール,目,インド,カメラを止めるな！,トリセツ,,
プリン,相撲,池上彰,ゴールデンウイーク,孫悟空,ドラゴンボール,スイレン,うま,シャンプ―,ポテトチップス,口,ウガンダ,トリック,小さな恋のうた,,
栗,ゴルフ,所ジョージ,母の日,ベジータ,ナルト,タンポポ,うし,カビキラー,じゃが塩バター,のどぼとけ,ウクライナ,AIWAYS三丁目の夕日,,,
ケーキ,野球,渡辺直美,父の日,亀仙人,進撃の巨人,ツバキ,キリン,歯ブラシ,アルフォート,肩,エクアドル,ピンポン,,,
まぐろ,ソフトボール,いとうあさこ,七夕,ルパン三世,鋼の錬金術師,ケヤキ,さい　,鏡磨き,ガーナ,脇,エジプト,リング,,,
かじき,走り幅跳び,新垣結衣,夏休み,峰不二子,デスノート,ホウセンカ,鹿,歯磨き粉,チョコパイ,胸,エチオピア,シンゴジラ,,,
白菜,走り高跳び,イモトアヤコ,花火,桜木花道,エヴァンゲリオン,バオバブ,シマウマ　,かみそり,キットカット,お腹,オーストラリア,桐島、部活辞めるってよ,,,
ソーセージ,幅跳び,石原さとみ,お盆,緋村剣心,君の名は,ココヤシ,かば,綿棒,エリーゼ,へそ,オランダ,君の膵臓を食べたい,,,
スパゲッティ,高跳び,ローラ,十五夜,ルフィ,ハイキュー！！,紅葉,ぞう,化粧水,ベジップス,膝,ロシア連邦,アウトレイジ,,,
